measurement,measurement_2,class
63333,38646,two
12344,51354,two
79687,48489,two
76042,39948,two
71823,39948,two
70313,37500,two
83750,38385,two
70989,52344,two
71927,36771,two
91719,40105,two
69375,32135,two
78489,47969,two
39062,46093,two
109063,58594,two
77969,44219,two
51042,43281,two
79323,47084,two
106511,48333,two
84063,52239,two
73281,40416,two
80313,38489,two
83802,47344,two
76771,47136,two
78646,47605,two
84739,51615,two
22917,48437,two
22708,71354,two
85833,45260,two
83645,46354,two
80990,48958,two
80937,47708,two
90104,58125,two
103802,60573,two
79792,47396,two
83802,45781,two
74896,38125,two
100625,58333,two
84792,47292,two
78177,44687,two
80521,55677,two
85781,50312,two
16354,196719,two
88594,47812,two
24843,47292,two
82136,55677,two
77552,55104,two
85885,47864,two
175469,133438,two
86719,64479,two
165625,46458,two
96250,49375,two
88802,45468,two
79636,48073,two
91354,56042,two
89114,55468,two
87552,65365,two
75312,40000,two
72761,43125,two
86302,55834,two
86823,47448,two
76146,47240,two
76354,40417,two
86614,45469,two
92813,51094,two
86042,50781,two
121667,85417,two
67292,38333,two
83906,47761,two
86510,46927,two
91303,49062,two
81510,45469,two
79687,53855,two
84479,46510,two
21458,39739,two
86354,49375,two
86562,56667,two
99114,56354,two
73438,22553,two
10416,63646,two
106146,68490,two
79115,55677,two
100833,47709,two
82760,48541,two
87448,49167,two
83385,48646,two
94167,56198,two
87969,50261,two
82084,48281,two
81458,45156,two
89427,47395,two
93333,47343,two
89948,48490,two
91979,50365,two
79532,49375,two
98021,64948,two
83073,38177,two
79687,51927,two
89687,55104,two
95729,54844,two
84531,45989,two
89896,50573,two
101458,60938,two
103125,57969,two
121250,158073,two
93906,46094,two
91094,48490,two
80730,48020,two
94063,51250,two
88438,47031,two
95365,106510,two
83385,51250,three
79271,46823,three
27500,58177,three
73386,42656,three
90052,53490,three
103750,69115,three
115313,38906,three
88333,56094,three
95416,57708,three
71354,42969,three
71146,326875,three
67188,43073,three
73958,45573,three
78698,45989,three
70000,39011,three
88802,55417,three
90521,22917,three
72604,46667,three
84740,48594,three
93594,22083,three
73958,39531,three
125000,77553,three
112396,34375,three
